,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ethnicity,sex,feature_0,country,state,date,predicted_outcome,sensitive_0,feature_1,feature_2,age
26,26,26,26,26,2,2,2,US,US,1994-01-01,1,1,2,2,4
27,27,27,27,27,2,2,2,US,US,1994-01-01,0,1,4,2,4
28,28,28,28,28,2,2,1,US,US,1994-01-01,1,0,2,4,2
29,29,29,29,29,2,2,2,US,US,1994-01-01,0,1,2,2,3
30,30,30,30,30,2,2,2,US,US,1994-01-01,0,1,4,2,3
31,31,31,31,31,2,2,1,US,US,1994-01-01,0,1,2,2,5
32,32,32,32,32,2,2,2,US,US,1994-01-01,0,1,2,2,6
33,33,33,33,33,2,2,2,US,US,1994-01-01,0,1,2,4,4
34,34,34,34,34,2,2,2,US,US,1994-01-01,0,1,2,2,3
35,35,35,35,35,2,2,2,US,US,1994-01-01,0,0,2,2,5
36,36,36,36,36,2,2,2,US,US,1994-01-01,0,1,2,2,2
37,37,37,37,37,2,2,1,US,US,1994-01-01,0,0,4,2,5
38,38,38,38,38,2,2,1,US,US,1994-01-01,0,1,2,2,2
39,39,39,39,39,2,2,1,US,US,1994-01-01,0,1,2,4,2
40,40,40,40,40,2,2,1,US,US,1994-01-01,0,0,4,2,4
41,41,41,41,41,2,2,1,US,US,1994-01-01,1,1,2,2,5
42,42,42,42,42,2,2,1,US,US,1994-01-01,0,1,4,2,4
43,43,43,43,43,2,2,3,US,US,1994-01-01,1,1,2,2,2
44,44,44,44,44,2,2,2,US,US,1994-01-01,0,0,2,4,3
45,45,45,45,45,2,2,1,US,US,1994-01-01,1,1,2,4,3
46,46,46,46,46,2,2,1,US,US,1994-01-01,0,1,2,2,2
47,47,47,47,47,2,2,1,US,US,1994-01-01,1,1,2,2,6
48,48,48,48,48,2,2,2,US,US,1994-01-01,0,1,2,2,5
49,49,49,49,49,2,2,1,US,US,1994-01-01,0,0,4,2,7
50,50,50,50,50,2,2,2,US,US,1994-01-01,1,0,2,2,4
51,51,51,51,51,2,2,1,US,US,1994-01-01,0,0,4,2,5
52,52,52,52,52,2,2,1,US,US,1994-01-01,1,1,2,2,4
53,53,53,53,53,2,2,2,US,US,1994-01-01,1,0,2,2,4
54,54,54,54,54,2,2,1,US,US,1994-01-01,1,0,2,2,3
55,55,55,55,55,2,2,2,US,US,1994-01-01,1,1,2,2,5
56,56,56,56,56,2,2,1,US,US,1994-01-01,0,0,2,2,3
57,57,57,57,57,2,2,2,US,US,1994-01-01,1,1,2,2,3
58,58,58,58,58,2,2,2,US,US,1994-01-01,0,1,2,2,3
59,59,59,59,59,2,2,2,US,US,1994-01-01,0,1,2,2,3
60,60,60,60,60,2,2,2,US,US,1994-01-01,0,0,2,2,3
61,61,61,61,61,2,2,1,US,US,1994-01-01,0,1,4,2,4
62,62,62,62,62,2,2,1,US,US,1994-01-01,1,0,4,2,2
63,63,63,63,63,2,2,1,US,US,1994-01-01,0,1,2,2,7
64,64,64,64,64,2,2,1,US,US,1994-01-01,1,1,2,2,7
65,65,65,65,65,2,2,2,US,US,1994-01-01,1,1,2,2,4
66,66,66,66,66,2,2,2,US,US,1994-01-01,0,0,4,2,5
67,67,67,67,67,2,2,2,US,US,1994-01-01,1,0,2,2,2
68,68,68,68,68,2,2,2,US,US,1994-01-01,1,0,4,2,3
69,69,69,69,69,2,2,3,US,US,1994-01-01,0,1,2,2,4
70,70,70,70,70,2,2,1,US,US,1994-01-01,0,1,2,2,6
71,71,71,71,71,2,2,1,US,US,1994-01-01,1,1,4,2,3
72,72,72,72,72,2,2,2,US,US,1994-01-01,1,1,2,2,2
73,73,73,73,73,2,2,1,US,US,1994-01-01,0,0,2,2,2
74,74,74,74,74,2,2,1,US,US,1994-01-01,0,1,2,2,2
75,75,75,75,75,2,2,2,US,US,1994-01-01,0,1,4,2,5
76,76,76,76,76,2,2,1,US,US,1994-01-01,1,1,2,2,4
77,77,77,77,77,2,2,1,US,US,1994-01-01,0,0,2,2,4
78,78,78,78,78,2,2,2,US,US,1994-01-01,0,0,4,4,4
79,79,79,79,79,2,2,1,US,US,1994-01-01,0,1,2,4,2
80,80,80,80,80,2,2,2,US,US,1994-01-01,0,1,2,2,5
81,81,81,81,81,2,2,2,US,US,1994-01-01,0,1,2,4,3
82,82,82,82,82,2,2,1,US,US,1994-01-01,1,0,4,2,3
83,83,83,83,83,2,2,2,US,US,1994-01-01,1,1,2,4,4
84,84,84,84,84,2,2,1,US,US,1994-01-01,1,0,4,2,3
85,85,85,85,85,2,2,2,US,US,1994-01-01,0,0,4,2,3
86,86,86,86,86,2,2,2,US,US,1994-01-01,0,0,4,2,4
87,87,87,87,87,2,2,2,US,US,1994-01-01,0,0,2,4,6
88,88,88,88,88,2,2,1,US,US,1994-01-01,0,1,2,4,2
89,89,89,89,89,2,2,2,US,US,1994-01-01,0,1,4,2,4
90,90,90,90,90,2,2,2,US,US,1994-01-01,0,0,2,4,3
91,91,91,91,91,2,2,2,US,US,1994-01-01,0,1,2,2,2
92,92,92,92,92,2,2,2,US,US,1994-01-01,0,1,2,2,2
93,93,93,93,93,2,2,1,US,US,1994-01-01,1,1,2,4,3
94,94,94,94,94,2,2,2,US,US,1994-01-01,0,1,2,4,4
95,95,95,95,95,2,2,1,US,US,1994-01-01,0,0,2,4,3
96,96,96,96,96,2,2,3,US,US,1994-01-01,1,1,4,2,6
97,97,97,97,97,2,2,2,US,US,1994-01-01,0,0,2,2,3
98,98,98,98,98,2,2,1,US,US,1994-01-01,1,0,2,2,6
99,99,99,99,99,2,2,1,US,US,1994-01-01,0,1,2,2,5
100,100,100,100,100,2,2,1,US,US,1994-01-01,0,1,2,2,3
101,101,101,101,101,2,2,2,US,US,1994-01-01,1,1,2,4,4
102,102,102,102,102,2,2,1,US,US,1994-01-01,1,1,2,2,3
103,103,103,103,103,2,2,1,US,US,1994-01-01,0,1,4,2,5
104,104,104,104,104,2,2,1,US,US,1994-01-01,0,0,2,2,3
105,105,105,105,105,2,2,1,US,US,1994-01-01,1,0,2,2,2
106,106,106,106,106,2,2,1,US,US,1994-01-01,0,0,2,2,4
107,107,107,107,107,2,2,1,US,US,1994-01-01,0,1,2,2,4
108,108,108,108,108,2,2,1,US,US,1994-01-01,0,1,2,2,5
109,109,109,109,109,2,2,2,US,US,1994-01-01,0,1,2,2,4
110,110,110,110,110,2,2,1,US,US,1994-01-01,0,1,4,2,4
111,111,111,111,111,2,2,2,US,US,1994-01-01,0,0,2,4,5
112,112,112,112,112,2,2,1,US,US,1994-01-01,0,0,4,2,5
113,113,113,113,113,2,2,1,US,US,1994-01-01,1,1,2,2,3
114,114,114,114,114,2,2,2,US,US,1994-01-01,0,1,2,2,3
115,115,115,115,115,2,2,2,US,US,1994-01-01,0,0,4,2,4
116,116,116,116,116,2,2,2,US,US,1994-01-01,1,1,2,2,3
117,117,117,117,117,2,2,1,US,US,1994-01-01,0,1,2,2,3
118,118,118,118,118,2,2,1,US,US,1994-01-01,0,1,2,2,2
119,119,119,119,119,2,2,1,US,US,1994-01-01,0,1,2,2,2
120,120,120,120,120,2,2,2,US,US,1994-01-01,0,0,2,2,5
121,121,121,121,121,2,2,1,US,US,1994-01-01,0,0,4,2,3
122,122,122,122,122,2,2,1,US,US,1994-01-01,0,1,2,2,6
123,123,123,123,123,2,2,1,US,US,1994-01-01,1,0,2,2,4
124,124,124,124,124,2,2,2,US,US,1994-01-01,0,0,2,2,3
125,125,125,125,125,2,2,1,US,US,1994-01-01,0,1,4,2,5
126,126,126,126,126,2,2,2,US,US,1994-01-01,0,1,2,2,6
127,127,127,127,127,2,2,2,US,US,1994-01-01,0,1,2,2,3
128,128,128,128,128,2,2,1,US,US,1994-01-01,0,1,4,2,3
129,129,129,129,129,2,2,1,US,US,1994-01-01,1,0,2,2,4
130,130,130,130,130,2,2,2,US,US,1994-01-01,1,1,2,2,4
131,131,131,131,131,2,2,2,US,US,1994-01-01,0,0,2,2,2
132,132,132,132,132,2,2,2,US,US,1994-01-01,0,1,2,2,3
133,133,133,133,133,2,2,1,US,US,1994-01-01,0,0,2,4,5
134,134,134,134,134,2,2,1,US,US,1994-01-01,0,1,2,2,3
135,135,135,135,135,2,2,2,US,US,1994-01-01,0,1,2,2,3
136,136,136,136,136,2,2,1,US,US,1994-01-01,0,1,2,2,3
137,137,137,137,137,2,2,2,US,US,1994-01-01,1,0,4,2,7
138,138,138,138,138,2,2,2,US,US,1994-01-01,1,1,2,2,4
139,139,139,139,139,2,2,1,US,US,1994-01-01,1,1,2,2,4
140,140,140,140,140,2,2,2,US,US,1994-01-01,1,0,4,2,2
141,141,141,141,141,2,2,1,US,US,1994-01-01,1,0,2,4,6
142,142,142,142,142,2,2,1,US,US,1994-01-01,0,1,2,2,4
143,143,143,143,143,2,2,1,US,US,1994-01-01,0,0,4,4,6
144,144,144,144,144,2,2,1,US,US,1994-01-01,1,0,2,2,6
145,145,145,145,145,2,2,1,US,US,1994-01-01,0,1,2,4,2
146,146,146,146,146,2,2,1,US,US,1994-01-01,0,1,2,4,2
147,147,147,147,147,2,2,2,US,US,1994-01-01,0,1,2,4,3
148,148,148,148,148,2,2,3,US,US,1994-01-01,0,1,2,2,2
149,149,149,149,149,2,2,1,US,US,1994-01-01,0,1,2,2,4
150,150,150,150,150,2,2,2,US,US,1994-01-01,0,1,2,2,4
151,151,151,151,151,2,2,2,US,US,1994-01-01,0,1,4,2,4
152,152,152,152,152,2,2,2,US,US,1994-01-01,0,1,4,2,6
153,153,153,153,153,2,2,1,US,US,1994-01-01,0,1,2,2,4
154,154,154,154,154,2,2,1,US,US,1994-01-01,1,1,2,4,3
155,155,155,155,155,2,2,1,US,US,1994-01-01,0,0,2,2,7
156,156,156,156,156,2,2,2,US,US,1994-01-01,0,1,2,2,3
157,157,157,157,157,2,2,1,US,US,1994-01-01,1,1,2,2,2
158,158,158,158,158,2,2,2,US,US,1994-01-01,0,1,2,2,6
159,159,159,159,159,2,2,1,US,US,1994-01-01,0,1,2,2,4
160,160,160,160,160,2,2,2,US,US,1994-01-01,1,0,4,2,6
161,161,161,161,161,2,2,1,US,US,1994-01-01,1,1,2,2,6
162,162,162,162,162,2,2,1,US,US,1994-01-01,0,0,2,4,5
163,163,163,163,163,2,2,3,US,US,1994-01-01,1,0,2,2,2
164,164,164,164,164,2,2,1,US,US,1994-01-01,0,1,2,2,3
165,165,165,165,165,2,2,2,US,US,1994-01-01,0,0,2,2,4
166,166,166,166,166,2,2,2,US,US,1994-01-01,0,0,2,2,6
167,167,167,167,167,2,2,1,US,US,1994-01-01,0,1,2,2,2
168,168,168,168,168,2,2,2,US,US,1994-01-01,1,0,2,4,7
169,169,169,169,169,2,2,2,US,US,1994-01-01,0,0,2,2,4
170,170,170,170,170,2,2,1,US,US,1994-01-01,0,1,4,2,3
171,171,171,171,171,2,2,2,US,US,1994-01-01,0,0,2,4,5
172,172,172,172,172,2,2,1,US,US,1994-01-01,1,0,2,4,4
173,173,173,173,173,2,2,3,US,US,1994-01-01,0,1,2,2,3
174,174,174,174,174,2,2,1,US,US,1994-01-01,0,0,2,2,3
175,175,175,175,175,2,2,1,US,US,1994-01-01,0,1,4,4,3
176,176,176,176,176,2,2,2,US,US,1994-01-01,1,1,2,2,4
177,177,177,177,177,2,2,2,US,US,1994-01-01,1,0,2,2,4
178,178,178,178,178,2,2,2,US,US,1994-01-01,0,1,2,2,5
179,179,179,179,179,2,2,1,US,US,1994-01-01,0,0,2,2,4
180,180,180,180,180,2,2,1,US,US,1994-01-01,0,1,2,2,2
181,181,181,181,181,2,2,2,US,US,1994-01-01,0,0,4,2,3
182,182,182,182,182,2,2,1,US,US,1994-01-01,1,1,2,2,5
183,183,183,183,183,2,2,1,US,US,1994-01-01,0,0,2,2,2
184,184,184,184,184,2,2,1,US,US,1994-01-01,1,0,2,2,4
185,185,185,185,185,2,2,1,US,US,1994-01-01,0,1,2,4,6
186,186,186,186,186,2,2,2,US,US,1994-01-01,1,0,2,2,2
187,187,187,187,187,2,2,2,US,US,1994-01-01,0,1,2,2,5
188,188,188,188,188,2,2,2,US,US,1994-01-01,0,0,4,2,6
189,189,189,189,189,2,2,1,US,US,1994-01-01,1,1,2,2,4
190,190,190,190,190,2,2,2,US,US,1994-01-01,1,0,2,2,4
191,191,191,191,191,2,2,1,US,US,1994-01-01,1,0,2,2,3
192,192,192,192,192,2,2,2,US,US,1994-01-01,0,0,4,4,2
193,193,193,193,193,2,2,1,US,US,1994-01-01,0,1,4,2,2
194,194,194,194,194,2,2,1,US,US,1994-01-01,0,0,2,2,3
195,195,195,195,195,2,2,2,US,US,1994-01-01,0,0,2,4,4
196,196,196,196,196,2,2,2,US,US,1994-01-01,0,0,2,4,3
197,197,197,197,197,2,2,1,US,US,1994-01-01,1,0,4,4,5
198,198,198,198,198,2,2,1,US,US,1994-01-01,1,1,2,4,2
199,199,199,199,199,2,2,1,US,US,1994-01-01,0,1,2,2,4
200,200,200,200,200,2,2,3,US,US,1994-01-01,0,1,2,2,3
201,201,201,201,201,2,2,2,US,US,1994-01-01,1,1,2,4,4
202,202,202,202,202,2,2,1,US,US,1994-01-01,0,0,2,2,4
203,203,203,203,203,2,2,2,US,US,1994-01-01,0,0,2,4,2
204,204,204,204,204,2,2,1,US,US,1994-01-01,0,1,2,2,7
205,205,205,205,205,2,2,1,US,US,1994-01-01,1,1,2,4,6
206,206,206,206,206,2,2,1,US,US,1994-01-01,0,1,4,2,6
207,207,207,207,207,2,2,1,US,US,1994-01-01,0,0,2,2,2
208,208,208,208,208,2,2,2,US,US,1994-01-01,0,0,2,2,3
209,209,209,209,209,2,2,1,US,US,1994-01-01,1,1,2,4,5
210,210,210,210,210,2,2,2,US,US,1994-01-01,1,0,4,2,2
211,211,211,211,211,2,2,2,US,US,1994-01-01,1,1,2,4,2
212,212,212,212,212,2,2,2,US,US,1994-01-01,0,1,2,2,3
213,213,213,213,213,2,2,1,US,US,1994-01-01,1,1,2,4,4
214,214,214,214,214,2,2,1,US,US,1994-01-01,0,1,2,2,4
215,215,215,215,215,2,2,2,US,US,1994-01-01,0,1,2,4,3
216,216,216,216,216,2,2,1,US,US,1994-01-01,0,1,2,2,3
217,217,217,217,217,2,2,1,US,US,1994-01-01,0,0,4,4,3
218,218,218,218,218,2,2,1,US,US,1994-01-01,1,0,2,2,7
219,219,219,219,219,2,2,1,US,US,1994-01-01,0,0,2,4,2
220,220,220,220,220,2,2,1,US,US,1994-01-01,0,1,4,2,7
221,221,221,221,221,2,2,2,US,US,1994-01-01,1,0,2,2,4
222,222,222,222,222,2,2,2,US,US,1994-01-01,0,0,4,2,4
223,223,223,223,223,2,2,2,US,US,1994-01-01,0,0,2,2,3
224,224,224,224,224,2,2,1,US,US,1994-01-01,1,0,4,2,4
225,225,225,225,225,2,2,2,US,US,1994-01-01,0,0,2,4,3
226,226,226,226,226,2,2,1,US,US,1994-01-01,0,1,2,4,3
227,227,227,227,227,2,2,1,US,US,1994-01-01,0,0,2,2,6
228,228,228,228,228,2,2,2,US,US,1994-01-01,0,1,2,2,6
229,229,229,229,229,2,2,1,US,US,1994-01-01,0,1,2,2,4
230,230,230,230,230,2,2,2,US,US,1994-01-01,1,1,2,2,3
231,231,231,231,231,2,2,1,US,US,1994-01-01,0,0,2,4,3
232,232,232,232,232,2,2,2,US,US,1994-01-01,0,0,4,2,3
233,233,233,233,233,2,2,1,US,US,1994-01-01,0,1,2,2,2
234,234,234,234,234,2,2,1,US,US,1994-01-01,0,1,2,2,6
235,235,235,235,235,2,2,1,US,US,1994-01-01,1,0,2,2,3
236,236,236,236,236,2,2,1,US,US,1994-01-01,0,1,2,2,6
237,237,237,237,237,2,2,2,US,US,1994-01-01,0,1,4,4,5
238,238,238,238,238,2,2,2,US,US,1994-01-01,1,0,2,2,3
239,239,239,239,239,2,2,1,US,US,1994-01-01,0,1,2,4,7
240,240,240,240,240,2,2,1,US,US,1994-01-01,1,0,2,2,5
241,241,241,241,241,2,2,1,US,US,1994-01-01,0,0,2,2,4
242,242,242,242,242,2,2,2,US,US,1994-01-01,0,0,2,4,3
243,243,243,243,243,2,2,1,US,US,1994-01-01,1,1,2,2,2
244,244,244,244,244,2,2,1,US,US,1994-01-01,1,1,4,2,4
245,245,245,245,245,2,2,2,US,US,1994-01-01,0,1,4,2,4
246,246,246,246,246,2,2,1,US,US,1994-01-01,0,1,2,2,4
247,247,247,247,247,2,2,1,US,US,1994-01-01,1,1,4,2,6
248,248,248,248,248,2,2,1,US,US,1994-01-01,0,1,2,2,5
249,249,249,249,249,2,2,2,US,US,1994-01-01,0,0,4,4,3
250,250,250,250,250,2,2,1,US,US,1994-01-01,0,1,2,2,6
251,251,251,251,251,2,2,1,US,US,1994-01-01,0,0,2,4,4
252,252,252,252,252,2,2,1,US,US,1994-01-01,0,0,4,2,4
253,253,253,253,253,2,2,2,US,US,1994-01-01,0,0,2,2,3
254,254,254,254,254,2,2,2,US,US,1994-01-01,0,0,2,4,4
255,255,255,255,255,2,2,1,US,US,1994-01-01,0,0,2,2,6
256,256,256,256,256,2,2,2,US,US,1994-01-01,0,1,2,4,4
257,257,257,257,257,2,2,2,US,US,1994-01-01,0,0,2,2,3
258,258,258,258,258,2,2,1,US,US,1994-01-01,1,1,4,2,5
259,259,259,259,259,2,2,1,US,US,1994-01-01,1,0,4,2,6
260,260,260,260,260,2,2,1,US,US,1994-01-01,1,0,4,2,3
261,261,261,261,261,2,2,1,US,US,1994-01-01,1,0,2,2,7
262,262,262,262,262,2,2,2,US,US,1994-01-01,0,0,4,2,3
263,263,263,263,263,2,2,2,US,US,1994-01-01,0,1,4,2,6
264,264,264,264,264,2,2,3,US,US,1994-01-01,1,1,2,4,6
265,265,265,265,265,2,2,2,US,US,1994-01-01,0,1,2,4,4
266,266,266,266,266,2,2,1,US,US,1994-01-01,1,0,2,2,4
267,267,267,267,267,2,2,1,US,US,1994-01-01,0,1,4,4,5
268,268,268,268,268,2,2,1,US,US,1994-01-01,1,1,2,2,2
269,269,269,269,269,2,2,2,US,US,1994-01-01,1,0,2,2,7
270,270,270,270,270,2,2,2,US,US,1994-01-01,0,1,4,4,3
271,271,271,271,271,2,2,2,US,US,1994-01-01,1,0,2,2,3
272,272,272,272,272,2,2,2,US,US,1994-01-01,0,1,2,2,3
273,273,273,273,273,2,2,1,US,US,1994-01-01,0,0,4,4,4
274,274,274,274,274,2,2,2,US,US,1994-01-01,0,1,2,2,4
275,275,275,275,275,2,2,1,US,US,1994-01-01,0,0,4,2,4
276,276,276,276,276,2,2,2,US,US,1994-01-01,0,1,2,4,4
277,277,277,277,277,2,2,2,US,US,1994-01-01,1,0,4,2,6
278,278,278,278,278,2,2,2,US,US,1994-01-01,0,1,4,4,2
279,279,279,279,279,2,2,2,US,US,1994-01-01,1,0,2,2,4
280,280,280,280,280,2,2,1,US,US,1994-01-01,0,1,2,2,3
281,281,281,281,281,2,2,2,US,US,1994-01-01,1,1,2,2,5
282,282,282,282,282,2,2,2,US,US,1994-01-01,0,0,2,4,5
283,283,283,283,283,2,2,1,US,US,1994-01-01,0,1,4,2,4
284,284,284,284,284,2,2,2,US,US,1994-01-01,1,0,2,2,4
285,285,285,285,285,2,2,2,US,US,1994-01-01,1,1,4,2,3
286,286,286,286,286,2,2,2,US,US,1994-01-01,0,1,2,2,3
287,287,287,287,287,2,2,2,US,US,1994-01-01,0,0,2,2,3
288,288,288,288,288,2,2,1,US,US,1994-01-01,1,1,2,2,5
289,289,289,289,289,2,2,2,US,US,1994-01-01,0,1,2,2,4
290,290,290,290,290,2,2,2,US,US,1994-01-01,1,0,2,2,2
291,291,291,291,291,2,2,2,US,US,1994-01-01,0,1,4,4,4
292,292,292,292,292,2,2,2,US,US,1994-01-01,1,0,2,2,6
293,293,293,293,293,2,2,1,US,US,1994-01-01,0,0,2,2,5
294,294,294,294,294,2,2,3,US,US,1994-01-01,0,0,2,2,6
295,295,295,295,295,2,2,2,US,US,1994-01-01,1,0,2,2,4
296,296,296,296,296,2,2,2,US,US,1994-01-01,0,0,2,2,6
297,297,297,297,297,2,2,1,US,US,1994-01-01,0,0,4,4,7
298,298,298,298,298,2,2,2,US,US,1994-01-01,1,0,4,2,5
299,299,299,299,299,2,2,2,US,US,1994-01-01,0,0,2,2,2
300,300,300,300,300,2,2,1,US,US,1994-01-01,1,0,4,4,4
301,301,301,301,301,2,2,1,US,US,1994-01-01,0,0,2,2,5
302,302,302,302,302,2,2,1,US,US,1994-01-01,0,1,2,2,3
303,303,303,303,303,2,2,1,US,US,1994-01-01,1,1,2,4,3
304,304,304,304,304,2,2,1,US,US,1994-01-01,0,1,2,2,6
305,305,305,305,305,2,2,2,US,US,1994-01-01,1,0,2,2,2
306,306,306,306,306,2,2,1,US,US,1994-01-01,1,0,2,2,5
307,307,307,307,307,2,2,2,US,US,1994-01-01,1,0,2,4,3
308,308,308,308,308,2,2,2,US,US,1994-01-01,0,1,2,2,5
309,309,309,309,309,2,2,3,US,US,1994-01-01,1,1,2,2,6
310,310,310,310,310,2,2,2,US,US,1994-01-01,0,0,2,2,3
311,311,311,311,311,2,2,2,US,US,1994-01-01,1,0,2,4,3
312,312,312,312,312,2,2,1,US,US,1994-01-01,0,1,2,2,4
313,313,313,313,313,2,2,1,US,US,1994-01-01,0,0,2,4,4
314,314,314,314,314,2,2,1,US,US,1994-01-01,0,0,2,2,2
315,315,315,315,315,2,2,2,US,US,1994-01-01,1,1,2,2,3
316,316,316,316,316,2,2,1,US,US,1994-01-01,0,1,4,2,4
317,317,317,317,317,2,2,1,US,US,1994-01-01,1,1,4,4,2
318,318,318,318,318,2,2,2,US,US,1994-01-01,0,0,4,2,4
319,319,319,319,319,2,2,2,US,US,1994-01-01,0,0,4,2,3
320,320,320,320,320,2,2,2,US,US,1994-01-01,1,1,2,4,4
321,321,321,321,321,2,2,2,US,US,1994-01-01,1,0,2,2,3
322,322,322,322,322,2,2,1,US,US,1994-01-01,0,0,4,4,4
323,323,323,323,323,2,2,2,US,US,1994-01-01,0,1,4,4,6
324,324,324,324,324,2,2,1,US,US,1994-01-01,1,1,4,2,5
325,325,325,325,325,2,2,2,US,US,1994-01-01,0,0,4,4,5
326,326,326,326,326,2,2,1,US,US,1994-01-01,0,0,2,2,3
327,327,327,327,327,2,2,2,US,US,1994-01-01,0,1,2,2,4
328,328,328,328,328,2,2,2,US,US,1994-01-01,0,0,2,4,2
329,329,329,329,329,2,2,2,US,US,1994-01-01,0,1,4,2,7
330,330,330,330,330,2,2,2,US,US,1994-01-01,0,1,2,2,3
331,331,331,331,331,2,2,1,US,US,1994-01-01,0,0,2,4,4
332,332,332,332,332,2,2,1,US,US,1994-01-01,0,0,2,2,3
333,333,333,333,333,2,2,2,US,US,1994-01-01,1,1,4,4,3
334,334,334,334,334,2,2,2,US,US,1994-01-01,0,0,2,2,5
335,335,335,335,335,2,2,1,US,US,1994-01-01,1,0,2,4,5
336,336,336,336,336,2,2,1,US,US,1994-01-01,0,1,4,2,3
337,337,337,337,337,2,2,1,US,US,1994-01-01,1,1,2,2,5
338,338,338,338,338,2,2,2,US,US,1994-01-01,0,1,4,2,3
339,339,339,339,339,2,2,1,US,US,1994-01-01,1,0,2,2,4
340,340,340,340,340,2,2,2,US,US,1994-01-01,0,1,2,4,3
341,341,341,341,341,2,2,2,US,US,1994-01-01,1,0,2,2,4
342,342,342,342,342,2,2,2,US,US,1994-01-01,0,0,2,2,6
343,343,343,343,343,2,2,2,US,US,1994-01-01,0,0,2,2,3
344,344,344,344,344,2,2,1,US,US,1994-01-01,1,1,2,2,6
345,345,345,345,345,2,2,1,US,US,1994-01-01,0,0,4,2,6
346,346,346,346,346,2,2,2,US,US,1994-01-01,1,1,2,2,3
347,347,347,347,347,2,2,1,US,US,1994-01-01,1,1,2,2,3
348,348,348,348,348,2,2,1,US,US,1994-01-01,0,0,2,2,5
349,349,349,349,349,2,2,1,US,US,1994-01-01,0,0,4,2,4
350,350,350,350,350,2,2,2,US,US,1994-01-01,1,1,2,4,4
351,351,351,351,351,2,2,1,US,US,1994-01-01,0,0,2,4,4
352,352,352,352,352,2,2,1,US,US,1994-01-01,0,1,2,2,6
353,353,353,353,353,2,2,2,US,US,1994-01-01,0,0,2,2,3
354,354,354,354,354,2,2,1,US,US,1994-01-01,0,1,2,4,4
355,355,355,355,355,2,2,2,US,US,1994-01-01,0,1,2,2,4
356,356,356,356,356,2,2,2,US,US,1994-01-01,0,0,4,2,4
357,357,357,357,357,2,2,1,US,US,1994-01-01,0,1,2,4,3
358,358,358,358,358,2,2,1,US,US,1994-01-01,0,1,4,2,3
359,359,359,359,359,2,2,3,US,US,1994-01-01,1,1,2,4,5
360,360,360,360,360,2,2,1,US,US,1994-01-01,0,1,4,2,3
361,361,361,361,361,2,2,2,US,US,1994-01-01,1,1,2,4,6
362,362,362,362,362,2,2,2,US,US,1994-01-01,1,1,2,2,2
363,363,363,363,363,2,2,2,US,US,1994-01-01,1,1,2,2,5
364,364,364,364,364,2,2,2,US,US,1994-01-01,0,0,4,4,4
365,365,365,365,365,2,2,1,US,US,1994-01-01,1,1,2,2,3
366,366,366,366,366,2,2,2,US,US,1994-01-01,1,0,2,2,6
367,367,367,367,367,2,2,1,US,US,1994-01-01,0,0,2,2,7
368,368,368,368,368,2,2,2,US,US,1994-01-01,0,1,2,2,4
369,369,369,369,369,2,2,1,US,US,1994-01-01,0,0,2,2,3
370,370,370,370,370,2,2,3,US,US,1994-01-01,1,0,4,4,6
371,371,371,371,371,2,2,1,US,US,1994-01-01,0,0,2,2,3
372,372,372,372,372,2,2,1,US,US,1994-01-01,1,0,2,4,4
